[ERROR game_server::entry_point] could not set open file limit: unsupported OS
[DEBUG SPAWN] arena=false, type=G5, pos=(-124.6,-5525.3), radius=6500.4, spawn_radius=2166.8, score=0
[DEBUG SPAWN] arena=false, type=Pt34, pos=(0.0,0.0), radius=6500.4, spawn_radius=5200.3, score=0
[DEBUG SPAWN] arena=false, type=G5, pos=(-1341.3,-5525.3), radius=6500.4, spawn_radius=2166.8, score=0
[DEBUG SPAWN] arena=false, type=Olympias, pos=(-687.1,-5525.3), radius=6500.4, spawn_radius=2166.8, score=0
[DEBUG SPAWN] arena=false, type=JianRen, pos=(-1576.8,-5525.5), radius=6500.6, spawn_radius=2166.9, score=0
[DEBUG SPAWN] arena=false, type=JianRen, pos=(1424.7,-5525.5), radius=6500.6, spawn_radius=2166.9, score=0
[DEBUG SPAWN] arena=false, type=FairmileD, pos=(-681.9,-5525.5), radius=6500.6, spawn_radius=2166.9, score=0
[DEBUG SPAWN] arena=false, type=G5, pos=(-533.4,-5525.5), radius=6500.6, spawn_radius=2166.9, score=0
[DEBUG SPAWN] arena=false, type=FairmileD, pos=(681.8,-5525.5), radius=6500.6, spawn_radius=2166.9, score=0
[DEBUG SPAWN] arena=false, type=G5, pos=(0.0,0.0), radius=6500.8, spawn_radius=5200.6, score=0
[DEBUG SPAWN] arena=false, type=FairmileD, pos=(0.0,0.0), radius=6500.8, spawn_radius=5200.6, score=0
[DEBUG SPAWN] arena=false, type=FairmileD, pos=(0.0,0.0), radius=6500.8, spawn_radius=5200.6, score=0
[DEBUG SPAWN] arena=false, type=Pt34, pos=(0.0,0.0), radius=6500.8, spawn_radius=5200.6, score=0
[DEBUG SPAWN] arena=false, type=JianRen, pos=(0.0,0.0), radius=6500.8, spawn_radius=5200.6, score=0
[DEBUG SPAWN] arena=false, type=Pt34, pos=(555.2,-5525.9), radius=6501.0, spawn_radius=2167.0, score=0
[DEBUG SPAWN] arena=false, type=Olympias, pos=(0.0,0.0), radius=6501.0, spawn_radius=5200.8, score=0
[DEBUG SPAWN] arena=false, type=G5, pos=(-869.3,-5525.9), radius=6501.0, spawn_radius=2167.0, score=0
[DEBUG SPAWN] arena=false, type=Komar, pos=(-1172.8,-5525.9), radius=6501.0, spawn_radius=2167.0, score=0
[DEBUG SPAWN] arena=false, type=Olympias, pos=(-1641.0,-5525.9), radius=6501.0, spawn_radius=2167.0, score=0
[DEBUG SPAWN] arena=false, type=JianRen, pos=(0.0,0.0), radius=6501.2, spawn_radius=5201.0, score=0
[DEBUG SPAWN] arena=false, type=JianRen, pos=(-1284.9,-5526.0), radius=6501.2, spawn_radius=2167.1, score=0
[DEBUG SPAWN] arena=false, type=Komar, pos=(0.0,0.0), radius=6501.2, spawn_radius=5201.0, score=0
[DEBUG SPAWN] arena=false, type=FairmileD, pos=(-1077.7,-5526.0), radius=6501.2, spawn_radius=2167.1, score=0
[DEBUG SPAWN] arena=false, type=G5, pos=(905.3,-5526.0), radius=6501.2, spawn_radius=2167.1, score=0
[DEBUG SPAWN] arena=false, type=FairmileD, pos=(0.0,0.0), radius=6501.4, spawn_radius=5201.1, score=0
[DEBUG SPAWN] arena=false, type=Komar, pos=(-1645.0,-5526.2), radius=6501.4, spawn_radius=2167.1, score=0
[DEBUG SPAWN] arena=false, type=Komar, pos=(745.5,-5526.2), radius=6501.4, spawn_radius=2167.1, score=0
[DEBUG SPAWN] arena=false, type=Komar, pos=(0.0,0.0), radius=6501.4, spawn_radius=5201.1, score=0
[DEBUG SPAWN] arena=false, type=Komar, pos=(0.0,0.0), radius=6501.4, spawn_radius=5201.1, score=0
[DEBUG SPAWN] arena=false, type=Komar, pos=(-1626.3,-5526.4), radius=6501.6, spawn_radius=2167.2, score=0
[DEBUG SPAWN] arena=false, type=Komar, pos=(893.7,-5526.4), radius=6501.6, spawn_radius=2167.2, score=0
[DEBUG SPAWN] arena=false, type=Olympias, pos=(0.0,0.0), radius=6501.6, spawn_radius=5201.3, score=0
[DEBUG SPAWN] arena=false, type=JianRen, pos=(-300.9,-5526.4), radius=6501.6, spawn_radius=2167.2, score=0
[DEBUG SPAWN] arena=false, type=Komar, pos=(0.0,0.0), radius=6501.6, spawn_radius=5201.3, score=0
[DEBUG SPAWN] arena=false, type=JianRen, pos=(258.4,-5526.5), radius=6501.8, spawn_radius=2167.3, score=0
[DEBUG SPAWN] arena=false, type=Olympias, pos=(-836.2,-5526.5), radius=6501.8, spawn_radius=2167.3, score=0
[DEBUG SPAWN] arena=false, type=G5, pos=(0.0,0.0), radius=6501.8, spawn_radius=5201.4, score=0
[DEBUG SPAWN] arena=false, type=FairmileD, pos=(0.0,0.0), radius=6501.8, spawn_radius=5201.4, score=0
[DEBUG SPAWN] arena=false, type=G5, pos=(0.0,0.0), radius=6501.8, spawn_radius=5201.4, score=0
[DEBUG SPAWN] arena=false, type=FairmileD, pos=(-594.7,-5526.7), radius=6502.0, spawn_radius=2167.3, score=0
[DEBUG SPAWN] arena=false, type=Komar, pos=(195.6,-5526.7), radius=6502.0, spawn_radius=2167.3, score=0
[DEBUG SPAWN] arena=false, type=JianRen, pos=(-174.1,-5526.7), radius=6502.0, spawn_radius=2167.3, score=0
[DEBUG SPAWN] arena=false, type=Pt34, pos=(0.0,0.0), radius=6502.0, spawn_radius=5201.6, score=0
[DEBUG SPAWN] arena=false, type=Pt34, pos=(379.3,-5526.7), radius=6502.0, spawn_radius=2167.3, score=0
[DEBUG SPAWN] arena=false, type=Pt34, pos=(601.3,-5526.9), radius=6502.2, spawn_radius=2167.4, score=0
[DEBUG SPAWN] arena=false, type=G5, pos=(227.9,-5526.9), radius=6502.2, spawn_radius=2167.4, score=0
[DEBUG SPAWN] arena=false, type=Komar, pos=(1589.7,-5526.9), radius=6502.2, spawn_radius=2167.4, score=0
[DEBUG SPAWN] arena=false, type=Komar, pos=(0.0,0.0), radius=6502.2, spawn_radius=5201.8, score=0
[DEBUG SPAWN] arena=false, type=JianRen, pos=(0.0,0.0), radius=6502.2, spawn_radius=5201.8, score=0
[DEBUG SPAWN] arena=false, type=JianRen, pos=(-269.1,-5527.0), radius=6502.4, spawn_radius=2167.5, score=0
[DEBUG SPAWN] arena=false, type=Olympias, pos=(-847.6,-5527.0), radius=6502.4, spawn_radius=2167.5, score=0
[DEBUG SPAWN] arena=false, type=Olympias, pos=(4.3,-5527.0), radius=6502.4, spawn_radius=2167.5, score=0
[DEBUG SPAWN] arena=false, type=G5, pos=(0.0,0.0), radius=6502.4, spawn_radius=5201.9, score=0
[DEBUG SPAWN] arena=false, type=Olympias, pos=(0.0,0.0), radius=6502.4, spawn_radius=5201.9, score=0
[DEBUG SPAWN] arena=false, type=JianRen, pos=(-19.8,-5527.2), radius=6502.6, spawn_radius=2167.5, score=0
[DEBUG SPAWN] arena=false, type=G5, pos=(0.0,0.0), radius=6502.6, spawn_radius=5202.1, score=0
[DEBUG SPAWN] arena=false, type=Komar, pos=(0.0,0.0), radius=6502.6, spawn_radius=5202.1, score=0
